mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,precipitation_mm,global_radiation_w_m2,JT10,JT20,evaporation_mm,month,day,ID,Station
-3.9,-6.1,-1.3,80.5,1.2,1.8,0.0,0.3,0.0,3.0,5.0,219,Apelsvoll
-3.5,-5.8,-0.7,86.6,4.2,1.4,0.0,0.3,0.0,3.0,6.0,220,Apelsvoll
-1.8,-3.4,0.2,96.2,16.8,0.8,0.0,0.3,0.0,3.0,7.0,221,Apelsvoll
-1.8,-7.2,2.5,76.4,3.7,2.3,0.0,0.3,0.0,3.0,8.0,222,Apelsvoll
-5.8,-8.8,-4.0,78.0,1.1,2.8,0.0,0.3,0.0,3.0,9.0,223,Apelsvoll
-5.8,-13.6,1.0,61.7,0.0,10.2,0.0,0.4,0.0,3.0,10.0,224,Apelsvoll
-5.3,-13.2,0.7,61.1,0.0,8.0,0.0,0.4,0.0,3.0,11.0,225,Apelsvoll
-7.3,-13.9,-2.6,79.6,0.8,4.4,0.0,0.4,0.0,3.0,12.0,226,Apelsvoll
-1.9,-7.2,1.2,93.6,10.8,4.8,0.0,0.4,0.0,3.0,13.0,227,Apelsvoll
-6.0,-11.7,-2.9,92.7,0.0,5.2,0.0,0.4,0.0,3.0,14.0,228,Apelsvoll
-2.8,-4.5,0.7,89.8,0.3,4.5,0.0,0.4,0.0,3.0,15.0,229,Apelsvoll
-1.7,-4.7,4.4,79.8,0.1,8.7,0.0,0.4,0.0,3.0,16.0,230,Apelsvoll
-1.1,-3.9,0.8,95.0,28.5,4.1,0.0,0.4,0.0,3.0,17.0,231,Apelsvoll
0.8,-3.4,4.0,61.4,0.0,9.8,0.0,0.4,1.4,3.0,18.0,232,Apelsvoll
0.4,-6.2,5.9,55.6,0.0,12.9,0.0,0.4,1.3,3.0,19.0,233,Apelsvoll
4.7,0.5,10.4,58.9,0.1,12.4,0.0,0.4,1.5,3.0,20.0,234,Apelsvoll
6.0,-2.0,12.9,59.2,0.0,11.8,0.1,0.4,1.6,3.0,21.0,235,Apelsvoll
1.4,-4.8,6.7,73.1,0.0,6.1,0.1,0.4,0.8,3.0,22.0,236,Apelsvoll
4.2,1.1,7.3,59.4,0.0,13.5,0.1,0.4,1.9,3.0,23.0,237,Apelsvoll
2.8,-1.8,6.0,58.0,0.0,7.9,0.1,0.4,1.2,3.0,24.0,238,Apelsvoll
1.4,-3.1,7.0,54.7,0.0,13.4,0.1,0.4,1.5,3.0,25.0,239,Apelsvoll
2.0,-2.9,6.2,56.5,0.0,10.1,0.1,0.4,1.2,3.0,26.0,240,Apelsvoll
2.9,-4.3,11.4,67.3,0.0,13.3,0.1,0.4,1.4,3.0,27.0,241,Apelsvoll
5.5,-0.7,9.8,65.3,0.1,6.3,0.1,0.4,1.0,3.0,28.0,242,Apelsvoll
8.0,5.6,11.6,58.4,0.0,12.5,0.1,0.4,1.9,3.0,29.0,243,Apelsvoll
4.8,0.9,7.4,63.6,0.0,8.0,0.1,0.4,1.1,3.0,30.0,244,Apelsvoll
1.5,-4.3,4.9,44.2,0.0,16.0,0.1,0.4,2.0,3.0,31.0,245,Apelsvoll
-0.2,-5.6,6.5,56.0,0.0,13.3,0.1,0.5,0.0,4.0,1.0,246,Apelsvoll
1.6,-3.0,7.8,69.4,0.0,9.6,0.1,0.5,1.0,4.0,2.0,247,Apelsvoll
